品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
凯迪拉克(进口),SRX,2005.01-2009.12 - 3.6,马勒 ￥30.0,三效空调滤清器 ￥79.0,,美孚 美孚1号 0W-40 ￥552.0
,,,,四效空调滤清器 ￥89.0,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥226.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,2011.01-2014 - 3.0,AC德科 ￥62.0,三效空调滤清器 ￥79.0,,美孚 美孚1号 0W-40 ￥552.0
,,,,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥475.0
,ATS,2013.2-2015 - 2.0T,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,美孚 美孚1号 0W-40 ￥552.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥475.0
,CTS,2005.03-2007.09 - 2.8L,马勒 ￥30.0,,,美孚 美孚1号 0W-40 ￥552.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥475.0
,,2008.01-2014 - 3.0,马勒 ￥30.0,,,美孚 美孚1号 0W-40 ￥552.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥475.0
,,2014.4-2015 - 2.0T,,,,美孚 美孚1号 0W-40 ￥552.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
