品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
斯巴鲁(进口),BRZ,2012.06-2014 - 2.0L,,三效空调滤清器 ￥49.0,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,XV,2012.03-2014 - 2.0 i,汉格斯特 Hengst ￥27.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥102.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,曼牌 Mann ￥24.0,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,傲虎,2009.09-2014 - 3.6R,马勒 ￥25.0,三效空调滤清器 ￥49.0,曼牌 Mann ￥102.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,汉格斯特 Hengst ￥27.0,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥24.0,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,2009.09-2014 - 2.5i,汉格斯特 Hengst ￥24.0,三效空调滤清器 ￥49.0,曼牌 Mann ￥102.0,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,曼牌 Mann ￥28.0,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,美孚 美孚1号 0W-40 ￥552.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥475.0
,,2003.11-2014 - 3.0 24V,马勒 ￥25.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥102.0,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,汉格斯特 Hengst ￥27.0,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,曼牌 Mann ￥24.0,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,美孚 美孚1号 0W-40 ￥552.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥475.0
,,2003.11-2014 - 2.5 16V,汉格斯特 Hengst ￥24.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥102.0,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,曼牌 Mann ￥28.0,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,美孚 美孚1号 0W-40 ￥552.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥475.0
,,2000.10-2004.02 - 3.0 H6 (BE/BH),马勒 ￥25.0,,马勒 ￥36.0,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,汉格斯特 Hengst ￥27.0,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,曼牌 Mann ￥24.0,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,美孚 美孚1号 0W-40 ￥552.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥475.0
,驰鹏,2007.09-2014 - 3.6 V6,马勒 ￥25.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥102.0,壳牌 蓝喜力HX7 5W-40 ￥447.0
,,,汉格斯特 Hengst ￥27.0,,,壳牌 灰喜力ULTRA 5W-40 ￥728.0
,,,曼牌 Mann ￥24.0,,,嘉实多 磁护 SN 5W-40 ￥512.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥794.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥782.0
,,,,,,美孚 美孚1号 0W-40 ￥644.0
,,,,,,嘉实多 极护 SN 0W-40 ￥694.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥563.0
,,2005.01-2014 - 3.0 24V,马勒 ￥25.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥102.0,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,汉格斯特 Hengst ￥27.0,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,曼牌 Mann ￥24.0,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,美孚 美孚1号 0W-40 ￥552.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥475.0
,力狮,2009.09-2014 - 2.5i,汉格斯特 Hengst ￥24.0,三效空调滤清器 ￥49.0,曼牌 Mann ￥102.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,曼牌 Mann ￥28.0,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,2010.07-2014 - 2.5 GT,汉格斯特 Hengst ￥24.0,三效空调滤清器 ￥49.0,曼牌 Mann ￥102.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,曼牌 Mann ￥28.0,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
