品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
保时捷(进口),卡宴,2003.10-2014 - 3.2L,汉格斯特 Hengst ￥70.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥143.0,美孚 美孚1号 0W-40 ￥644.0
,,,曼牌 Mann ￥168.0,,汉格斯特 Hengst ￥115.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0
,,,,,曼牌 Mann ￥189.0,嘉实多 极护 SN 0W-40 ￥694.0
,,,,,曼牌 Mann ￥169.0,嘉实多 磁护 SN 5W-40 ￥512.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥782.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥794.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥447.0
,,2007.02-2014 - 3.6L,汉格斯特 Hengst ￥70.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥143.0,美孚 美孚1号 0W-40 ￥644.0
,,,曼牌 Mann ￥168.0,,汉格斯特 Hengst ￥115.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0
,,,,,曼牌 Mann ￥189.0,嘉实多 极护 SN 0W-40 ￥694.0
,,,,,曼牌 Mann ￥169.0,嘉实多 磁护 SN 5W-40 ￥512.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥782.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥794.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥447.0
,,2006.03-2014 - 4.5L,,三效空调滤清器 ￥119.0,曼牌 Mann ￥169.0,美孚 美孚1号 0W-40 ￥736.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥760.0
,,,,,,嘉实多 极护 SN 0W-40 ￥752.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥496.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥856.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥820.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥456.0
,,2007.02-2014 - 4.8L,曼牌 Mann ￥200.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥169.0,美孚 美孚1号 0W-40 ￥736.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥760.0
,,,,,,嘉实多 极护 SN 0W-40 ￥752.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥496.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥856.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥820.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥456.0
,,2007.10-2014 - 4.8L,曼牌 Mann ￥200.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥115.0,美孚 美孚1号 0W-40 ￥736.0
,,,,,汉格斯特 Hengst ￥143.0,壳牌 灰喜力ULTRA 5W-40 ￥760.0
,,,,,曼牌 Mann ￥169.0,嘉实多 极护 SN 0W-40 ￥752.0
,,,,,曼牌 Mann ￥189.0,嘉实多 磁护 SN 5W-40 ￥496.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥856.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥820.0
