品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
东南汽车,菱帅,2004.03-2006.03 - 1.6L,马勒 ￥17.0,,马勒 ￥35.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,汉格斯特 Hengst ￥25.0,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,曼牌 Mann ￥24.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,菱致V5,2012.9-2014 - 1.5L,马勒 ￥17.0,,,壳牌 黄喜力HX5 10W-40 ￥147.0
,,,汉格斯特 Hengst ￥25.0,,,嘉实多 金嘉护 SN 10W-40 ￥165.0
,,,曼牌 Mann ￥24.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥219.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥264.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥348.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥264.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥354.0
,,,,,,美孚 美孚1号 0W-40 ￥276.0
,,,,,,嘉实多 极护 SN 0W-40 ￥318.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥384.0
,菱仕V6,2013.4-2014 - 1.5L,马勒 ￥17.0,,,壳牌 黄喜力HX5 10W-40 ￥147.0
,,,汉格斯特 Hengst ￥25.0,,,嘉实多 金嘉护 SN 10W-40 ￥165.0
,,,曼牌 Mann ￥24.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥219.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥264.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥348.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥264.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥354.0
,,,,,,美孚 美孚1号 0W-40 ￥276.0
,,,,,,嘉实多 极护 SN 0W-40 ￥318.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥384.0
,得利卡,2004.09-2014 - 2.0L,,,,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,富利卡,2000.03-2014 - 2.0L,马勒 ￥25.0,,,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,汉格斯特 Hengst ￥27.0,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,曼牌 Mann ￥24.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,菱悦,2008.10-2013 - 1.5L,马勒 ￥17.0,,,壳牌 黄喜力HX5 10W-40 ￥147.0
,,,曼牌 Mann ￥24.0,,,嘉实多 金嘉护 SN 10W-40 ￥165.0
,,,,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥219.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥264.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥348.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥264.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥354.0
,,,,,,美孚 美孚1号 0W-40 ￥276.0
,,,,,,嘉实多 极护 SN 0W-40 ￥318.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥384.0
,,2008.10-2014 - 1.5L,马勒 ￥17.0,,马勒 ￥35.0,壳牌 黄喜力HX5 10W-40 ￥147.0
,,,汉格斯特 Hengst ￥25.0,,,嘉实多 金嘉护 SN 10W-40 ￥165.0
,,,曼牌 Mann ￥24.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥219.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥264.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥348.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥264.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥354.0
,,,,,,美孚 美孚1号 0W-40 ￥276.0
,,,,,,嘉实多 极护 SN 0W-40 ￥318.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥384.0
